ein,first_name,last_name,department,gender,salary,legacy,old_premium
86-9010827,Missy,Somes,Engineering,F,40264.33,false,0
19-0431047,Genevieve,Durnian,Training,F,59757.79,true,1792.7337
46-1962550,Junette,Oiseau,Support,F,65632.75,true,1968.9825
86-1737840,Carline,Byre,Legal,F,83224.24,false,0
08-3376163,Liv,Jahnig,Marketing,F,95431.64,true,2862.9492
78-9237886,Vanna,Casaletto,Human Resources,F,-8307.04,true,-249.2112
59-4667748,Cornie,Achrameev,Support,F,39672.93,false,0
21-3754800,Danna,McKie,Research and Development,F,92103.76,false,0
16-5176620,Craggy,Denty,Accounting,M,112950.34,false,0
72-2504054,Gerek,Cheales,Legal,M,79774.6,false,0
11-0852963,Adrianne,Hakonsson,Research and Development,F,35619.29,false,0
94-8933901,Dorthy,Poll,Engineering,F,25639.97,false,0
24-0690438,Riccardo,Ventam,Sales,M,53920.0,true,1617.6
54-8967111,Peg,Medcalf,Sales,F,59991.27,true,1799.7381
15-0265466,Knox,Vondrys,Legal,M,86666.25,true,2599.9875
61-7332303,Tobiah,Drinan,Support,M,130185.8,false,0
59-3908020,Urban,Labin,Services,M,78273.43,false,0
12-8685230,Trescha,Boynes,Training,F,90941.53,true,2728.2459
49-2666479,Lissy,Quince,Services,F,76150.44,false,0
15-8074547,Otho,Hagland,Sales,M,103337.36,false,0
07-0188494,Emmy,Lockhart,Marketing,F,97073.37,true,2912.2011
80-0414362,Ernest,Spawell,Human Resources,M,82506.69,true,2475.2007
63-1411446,Seamus,Gounin,Accounting,M,86797.31,false,0
03-8400744,Freddy,Ivery,Accounting,M,100688.17,true,3020.6451
70-9087963,Diena,Portwaine,Product Management,F,68334.51,true,2050.0353
58-4786843,Sada,Charnock,Training,F,69828.66,true,2094.8598
28-7024712,Jere,Simione,Human Resources,F,64849.92,false,0
95-3350497,Phedra,Giovannacci,Support,F,29524.85,true,885.7455
71-0413774,Tim,Hartwell,Legal,M,42837.73,false,0
12-3931473,Ofilia,Rathbourne,Human Resources,F,66944.92,true,2008.3476
52-9918857,Hadlee,Dwane,Support,M,72248.49,true,2167.4547
52-2389923,Sonja,Keers,Engineering,F,92940.52,false,0
22-9174580,Dermot,Scathard,Business Development,M,64464.91,true,1933.9473
58-3143229,Rowe,Hexter,Accounting,F,62379.48,true,1871.3844
33-1021616,Koo,Lanning,Legal,F,101106.13,false,0
09-7590442,Cad,Klaffs,Marketing,M,46842.6,false,0
93-3360663,La verne,Dishmon,Product Management,F,53033.52,false,0
12-8375629,Dudley,Woolnough,Research and Development,M,93635.17,false,0
59-6555767,Tades,Abrahim,Accounting,M,24096.48,true,722.8944
59-0221612,Jere,Frarey,Services,M,44298.69,true,1328.9607
56-6300835,Alister,Goodram,Business Development,M,97943.0,true,2938.29
37-8926053,Mallory,Gioan,Research and Development,F,54715.99,false,0
31-6344595,Gaston,Emmens,Engineering,M,56697.52,true,1700.9256
25-2101934,Rickard,Blakeney,Product Management,M,84155.59,true,2524.6677
59-9356639,Paulita,Murfin,Legal,F,48533.59,false,0
31-0429314,Cordell,Crome,Business Development,M,56322.39,false,0
76-2041819,Gaelan,Pancoast,Product Management,M,71863.59,false,0
94-9542567,Marji,Dunford,Services,F,59924.64,false,0
78-3800630,Joanna,Rodman,Marketing,F,91260.23,true,2737.8069
82-1438611,Nancy,Gumbley,Sales,F,65943.25,true,1978.2975
14-5627578,Cole,Levet,Support,M,95489.96,false,0
49-2020696,Emery,Abbett,Business Development,M,95784.73,true,2873.5419
71-6420529,Sullivan,Quinet,Marketing,M,86926.34,false,0
20-9776530,Ewen,Laidlaw,Marketing,M,51396.2,true,1541.886
87-6373149,Thea,Wetherick,Training,F,75417.28,true,2262.5184
16-1532467,Gardiner,Linkleter,Accounting,M,58325.81,false,0
71-3920748,Maggy,Stolberg,Accounting,F,90327.42,false,0
55-6816395,Madeleine,Kighly,Accounting,F,68180.68,true,2045.4204
96-8687197,Devina,Prall,Legal,F,72606.03,false,0
54-2757299,Tonie,Plinck,Human Resources,F,33294.04,false,0
71-0376744,Allsun,Aberdalgy,Support,F,41077.63,false,0
76-4442259,Towny,Dani,Services,M,57558.22,true,1726.7466
07-0746680,Ezequiel,Bowick,Human Resources,M,100658.46,true,3019.7538
71-9111346,Darrick,Gaven,Sales,M,55247.02,true,1657.4106
33-4862101,Hagan,Faltin,Training,M,103503.72,true,3105.1116
57-1547886,Jerome,Giffkins,Accounting,M,94861.07,true,2845.8321
99-7489076,Leodora,Balshaw,Engineering,F,87128.0,true,2613.84
47-3257463,Ricardo,Fleg,Legal,M,16782.29,false,0
19-4237423,Aloise,Van Driel,Sales,F,75578.07,true,2267.3421
49-2357624,Miguel,Gilbanks,Services,M,64029.13,true,1920.8739
11-6206893,Oralle,Woolfoot,Engineering,F,107271.65,true,3218.1495
41-5786440,Myrilla,Schirach,Services,F,42426.84,true,1272.8052
06-2185730,Erv,Doding,Services,M,58745.95,false,0
85-5953342,Yolande,Bryde,Marketing,F,56751.06,false,0
42-4798618,Broddy,Hyndley,Services,M,36199.98,false,0
12-4691949,Vania,Bernardez,Product Management,F,102134.36,false,0
45-4947264,Marlene,Worswick,Product Management,F,57780.09,false,0
14-2148322,Domenic,Halleday,Business Development,M,75162.01,false,0
40-3328231,Judah,Crowson,Engineering,M,90661.09,false,0
